צריפים אדומים,6504,--
פעמי משיח,497,--
נתיב מאיר,196,--
נחל רביבים,440,--
נופי הדר,178,--
נופי אביב,6523,--
נוה ספיר,6519,--
משעול המתמיד,259,--
מערבא,354,--
מעלה הסיירים,133,--
יונתן בן עוזיאל,183,--
חצרות ערבי הנחל,444,--
הר הכרמל,300,--
דרכי אליעזר,449,--
דלומיט,315,--
הרשר הירש,547, המשקפיים
הרב קוק,539, המשקפיים
הרב מרדכי צמח אליהו,538, המשקפיים
הרב יצחק כדורי,536, המשקפיים
הרב יעקב יוסף,535, המשקפיים
הרב האדמור החלוץ,531, המשקפיים
הנציב,528, המשקפיים
הנציב,528, המשקפיים
האדרת,507, המשקפיים
הסוללה,308,"א.ת ברוש,בית שמש מערב"
החרוצים,306,"א.ת ברוש,בית שמש מערב"
ההכשרה,305,"א.ת ברוש,בית שמש מערב"
וירג'יניה,307,"א.ת ברוש,בית שמש מערב"
התעשיה,302,"א.ת ברוש,בית שמש מערב"
התעשיה,302,"א.ת ברוש,בית שמש מערב"
התעשיה,302,"א.ת ברוש,בית שמש מערב"
התעשיה,302,"א.ת ברוש,בית שמש מערב"
התעשיה,302,"א.ת ברוש,בית שמש מערב"
העמל,303,"א.ת ברוש,בית שמש מערב"
המלאכה,304,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
היצירה,301,"א.ת ברוש,בית שמש מערב"
חושן,309,א.ת הר-טוב
ספיר,320,א.ת הר-טוב
סלע,322,א.ת הר-טוב
יהלום,317,א.ת הר-טוב
טורקיז,299,א.ת הר-טוב
טופז,321,א.ת הר-טוב
גרניט,316,א.ת הר-טוב
בזלת,319,א.ת הר-טוב
אודם,318,א.ת הר-טוב
אריאל דרון,,א.ת צפון 
הצבע,310,א.ת צפוני
העליה,105,א.ת צפוני
המסגר,142,א.ת צפוני
המורה צבי,260,א.ת צפוני
החרש,152,א.ת צפוני
הבנאי,141,א.ת צפוני
האומן,106,א.ת צפוני
אלון יגאל,148,א.ת צפוני
נהר הירקון,420,המשקפיים
קדושת אהרון,457,גבעת שרת
סיתוונית,206,גבעת שרת
תדהר,175,גבעת שרת
תאשור,267,גבעת שרת
שד הדקל,162,גבעת שרת
רבי ישמעאל,456,גבעת שרת
רבי ינאי,458,גבעת שרת
סחלב,208,גבעת שרת
ורד,207,גבעת שרת
התפוח,271,גבעת שרת
התאנה,262,גבעת שרת
השיטה,261,גבעת שרת
השיזף,277,גבעת שרת
השושן,190,גבעת שרת
הרקפת,164,גבעת שרת
הציפורן,194,גבעת שרת
הצאלה,276,גבעת שרת
הערמון,275,גבעת שרת
הערבה,265,גבעת שרת
הסיגלית,163,גבעת שרת
הסביון,168,גבעת שרת
הנרקיס,169,גבעת שרת
הנורית,165,גבעת שרת
הכלנית,167,גבעת שרת
היסמין,195,גבעת שרת
החרצית,192,גבעת שרת
החרובים,264,גבעת שרת
החצב,191,גבעת שרת
החבצלת,193,גבעת שרת
ההדר,263,גבעת שרת
ההדס,270,גבעת שרת
הדולב,278,גבעת שרת
הדובדבן,176,גבעת שרת
האתרוג,269,גבעת שרת
הארזים,174,גבעת שרת
הארז,274,גבעת שרת
האפרסק,273,גבעת שרת
האיריס,166,גבעת שרת
האורן,268,גבעת שרת
האגס,272,גבעת שרת
דובר שלום,453,גבעת שרת
בן זאב יהודה,252,גבעת שרת
בן גוריון פולה,254,גבעת שרת
אוהל יהושע,455,גבעת שרת
הברוש,266,גגבעת שרת
שפת אמת,219,הקריה החרדית
שער השמיים,227,הקריה החרדית
רשי,205,הקריה החרדית
רבנו חיים הלוי,217,הקריה החרדית
רבי יוסי בן קיסמא,451,הקריה החרדית
ראובן,234,הקריה החרדית
קהילת יעקב,218,הקריה החרדית
קהילת יעקב,218,הקריה החרדית
סולם יעקב,210,הקריה החרדית
מעשי חייא,225,הקריה החרדית
מעפילי אגוז,230,הקריה החרדית
מנחת יצחק,228,הקריה החרדית
לב שמחה,221,הקריה החרדית
חזון איש,212,הקריה החרדית
חזון איש,212,הקריה החרדית
זכרון יעקב,209,הקריה החרדית
הרב מבריסק,213,הקריה החרדית
הרב הרצוג,216,הקריה החרדית
המהריל דיסקין,220,הקריה החרדית
ברכת אברהם,229,הקריה החרדית
בן זאב יהודה,252,הקריה החרדית
בית ישראל,226,הקריה החרדית
אשכול לוי,242,הקריה החרדית
אשכול לוי,242,הקריה החרדית
אמרי אמת,211,הקריה החרדית
אחיעזר,223,הקריה החרדית
אור שמח,224,הקריה החרדית
אור החיים,222,הקריה החרדית
מעלות הרמא,500,חפציבה
רבי צדקה יהודה,198,חפציבה
קארו יוסף,197,חפציבה
חידא,186,חפציבה
החפץ חיים,188,חפציבה
דרך החיים,285,חפציבה
גלעד,243,חפציבה
בן ציון אבא שאול,187,חפציבה
בן איש חי,189,חפציבה
אשכול לוי,242,חפציבה
רבי יוסי בן קיסמא,451,ממזרח שמש
עקביא בן מהללאל,452,ממזרח שמש
הרב הרצוג,216,ממזרח שמש
בן עזאי,450,ממזרח שמש
נחל קדרון,543,המשקפיים
נחל פרת,548,המשקפיים
נחל פולג,530,המשקפיים
הרב ברוק,556,המשקפיים
הרב אברהם שפירא,551,המשקפיים
פרנקל,375,נווה שמיר 
פרנק,374,נווה שמיר 
סנש,383,נווה שמיר 
משה ארנס,381,נווה שמיר 
יונתן,376,נווה שמיר 
יאיר,378,נווה שמיר 
טרומפלדור,372,נווה שמיר 
חגואל,384,נווה שמיר 
חביבה רייך,382,נווה שמיר 
השלושה,377,נווה שמיר 
האחים,379,נווה שמיר 
אלבז,380,נווה שמיר 
אהרן שמי,371,נווה שמיר 
אהרונסון,370,נווה שמיר 
רועי קליין,373,נווה שמיר 
נהר הירקון,420,נווה שמיר 
סיני,137,פסגות השבע
מצדה,139,פסגות השבע
התבור,246,פסגות השבע
הרטוב,279,פסגות השבע
הר נבו,284,פסגות השבע
הר נבו,284,פסגות השבע
הר מירון,288,פסגות השבע
הר המוריה,287,פסגות השבע
הר גבנונים,289,פסגות השבע
הר בשן,286,פסגות השבע
החרמון,245,פסגות השבע
הארבל,244,פסגות השבע
גלעד,243,פסגות השבע
בן זאב יהודה,252,פסגות השבע
אשכול לוי,242,פסגות השבע
